"","Chisq","Df","Pr(>Chisq)","trait"
"trt",3.23,1,0.0722,"survival"
"colors",6.52,2,0.0384,"survival"
"trt:colors",5.15,2,0.0762,"survival"
"trt1",17.11,2,0.0002,"flowering"
"colors1",10.46,2,0.0053,"flowering"
"trt:colors1",0.83,4,0.9339,"flowering"
"trt2",34.36,2,0,"n flowers"
"colors2",6.06,2,0.0484,"n flowers"
"trt:colors2",3.92,4,0.4164,"n flowers"
"(Intercept)",10518.83,1,0,"time to flower"
"trt3",21.65,2,0,"time to flower"
"colors3",2.27,2,0.3207,"time to flower"
"trt:colors3",18.73,4,0.0009,"time to flower"
"(Intercept)1",145.36,1,0,"height"
"trt4",46.46,2,0,"height"
"colors4",27.65,2,0,"height"
"trt:colors4",23.88,4,0.0001,"height"
"(Intercept)2",519.52,1,0,"bushiness"
"trt5",35.11,2,0,"bushiness"
"colors5",9.58,2,0.0083,"bushiness"
"trt:colors5",12.84,4,0.0121,"bushiness"
