"","trait","colors","percent_decrease_early_drought","percent_decrease_late_drought"
"1","survival","M_M",15,37
"2","survival","M_Y",32,86
"3","survival","Y_Y",33,22
"4","flowering","M_M",84.1269841269841,60.3174603174603
"5","flowering","M_Y",51.6483516483517,24.1758241758242
"6","flowering","Y_Y",74,40
"7","n flowers","M_M",98.1481481481482,85.4497354497354
"8","n flowers","M_Y",81.0372771474878,100
"9","n flowers","Y_Y",89.6666666666667,71.3333333333333
"10","height (cm)","M_M",67.3404255319149,45.3617021276596
"11","height (cm)","M_Y",72.2601722601723,66.6023166023166
"12","height (cm)","Y_Y",47.8592519685039,29.7736220472441
"13","bushiness (n nodes)","M_M",48.006230529595,31.0903426791277
"14","bushiness (n nodes)","M_Y",45.8369851007888,-9.55302366345311
"15","bushiness (n nodes)","Y_Y",48.5432098765432,37.0864197530864
"16","time to flower (days)","M_M",-32.7586206896552,17.9310344827586
"17","time to flower (days)","M_Y",12.1223424095487,15.2928011935845
"18","time to flower (days)","Y_Y",6.96010019681517,6.96010019681517
